process_type,energy_consumption_kwh_per_ton,ambient_temperature_c,humidity_percent,equipment_age_years,production_rate_tons_per_hour,renewable_energy_percent,waste_recycling_percent,carbon_footprint_kg_co2e_per_ton
plastic,477.8214378844623,29.6398788362281,65.91950905182219,3.964354168406294,1.201975341512912,4.646688973455957,83.62497239086949,333.8364290422078
glass,486.45943347289744,31.648852816008436,42.74034664069657,4.4546743769349115,1.325320294340452,24.339379436763018,54.60429668874021,233.8739002023897
plastic,60.37809126863709,25.495493205167783,53.991658302915326,1.886647601058693,4.881899834786566,18.62170723442434,17.70154693528977,181.89949103534707
plastic,316.5865559879191,15.929008254399955,66.45269111408629,4.239958350058539,0.7927321684337578,75.91084298026666,92.07872281133754,163.68427940959924
steel,223.43742614296224,15.319325044404284,43.85362953732894,5.579483854494223,3.574685834714562,48.799732622609675,80.82156749757397,255.24146901348809
steel,348.1350279592919,21.23422152178822,61.20408127066865,11.387495307522313,1.3318450498648717,77.56677022116469,75.88628998569473,271.9964150329128
steel,227.8176062008165,33.53317731587588,73.63631975138526,7.2042746073108725,3.066997884824297,41.666740802065895,91.69962206969467,363.9266889644007
glass,314.0380245487317,34.305106145282764,66.42205486120108,6.243984458428324,1.8332307756683708,13.2213551250402,11.329094573001484,277.3228412531407
cement,397.51014618349586,18.974313630683447,30.331327027416144,16.49376714064185,3.680858047314277,58.32057344327899,75.55797946830539,395.0224198673847
cement,461.73185399470134,32.000771555795986,56.9670404482922,2.812792213317815,2.1686821348921987,53.507300213088584,66.60340031248722,411.4547112887914
plastic,336.9008621098459,32.744254851526534,58.33289550971696,3.272290672827732,3.7096015425034774,60.862803889351795,57.70856179340718,197.06139652112068
cement,369.7983003586043,17.217816416236627,56.36019011194621,4.832664844372528,4.530936180530837,38.02961785456894,57.87842361799261,476.34081507046943
plastic,458.40491326674186,19.9858445829775,54.62297538213778,15.355471632317926,1.529591744712301,6.158392786303439,34.628873497670284,385.3086052180446
plastic,411.6524346046015,18.731401177720716,83.55353990939867,11.247502596397364,4.133480698238282,71.68730399387945,37.03029537260843,243.14836900339736
cement,172.45951222308588,27.953802410827247,30.03122261971895,7.698808270349211,1.8715156617111306,13.172468251435339,55.397600646912565,566.0776217006567
